Date,Ingredient,Demand,Waste,Unit_Price,Stock_Level,Day_of_Week,Month,Year,Is_Weekend,Is_Holiday,Waste_Percentage
2023-06-30,Tomatoes,32,8,3.29,38,4,6,2023,0,0,25.0
2023-07-01,Tomatoes,45,6,4.91,53,5,7,2023,1,1,13.333333333333334
2023-07-02,Tomatoes,42,8,5.47,47,6,7,2023,1,1,19.047619047619047
2023-07-03,Tomatoes,34,7,5.05,39,0,7,2023,0,1,20.588235294117645
2023-07-04,Tomatoes,36,6,6.19,46,1,7,2023,0,1,16.666666666666664
2023-07-05,Tomatoes,35,7,5.74,40,2,7,2023,0,1,20.0
2023-07-06,Tomatoes,38,6,13.44,47,3,7,2023,0,1,15.789473684210526
2023-07-07,Tomatoes,34,4,13.4,37,4,7,2023,0,1,11.76470588235294
2023-07-08,Tomatoes,30,6,4.8,37,5,7,2023,1,0,20.0
2023-07-09,Tomatoes,35,8,11.16,45,6,7,2023,1,0,22.857142857142858
2023-07-10,Tomatoes,32,3,4.05,36,0,7,2023,0,0,9.375
2023-07-11,Tomatoes,25,2,3.36,31,1,7,2023,0,0,8.0
2023-07-12,Tomatoes,22,4,11.9,29,2,7,2023,0,0,18.181818181818183
2023-07-13,Tomatoes,27,4,11.42,33,3,7,2023,0,0,14.814814814814813
2023-07-14,Tomatoes,24,3,9.81,29,4,7,2023,0,0,12.5
2023-07-15,Tomatoes,29,4,14.37,36,5,7,2023,1,0,13.793103448275861
2023-07-16,Tomatoes,30,5,3.05,36,6,7,2023,1,0,16.666666666666664
2023-07-17,Tomatoes,22,3,5.61,26,0,7,2023,0,0,13.636363636363635
2023-07-18,Tomatoes,31,5,11.37,39,1,7,2023,0,0,16.129032258064516
2023-07-19,Tomatoes,22,2,4.42,26,2,7,2023,0,0,9.090909090909092
2023-07-20,Tomatoes,30,5,4.12,35,3,7,2023,0,0,16.666666666666664
2023-07-21,Tomatoes,30,6,6.0,36,4,7,2023,0,0,20.0
2023-07-22,Tomatoes,33,5,5.13,38,5,7,2023,1,0,15.151515151515152
2023-07-23,Tomatoes,27,3,13.39,33,6,7,2023,1,0,11.11111111111111
2023-07-24,Tomatoes,29,4,3.3,32,0,7,2023,0,0,13.793103448275861
2023-07-25,Tomatoes,28,4,12.0,35,1,7,2023,0,0,14.285714285714285
2023-07-26,Tomatoes,29,5,2.47,34,2,7,2023,0,0,17.24137931034483
2023-07-27,Tomatoes,31,4,7.22,40,3,7,2023,0,0,12.903225806451612
2023-07-28,Tomatoes,25,5,13.27,29,4,7,2023,0,0,20.0
2023-07-29,Tomatoes,30,3,13.81,39,5,7,2023,1,0,10.0
2023-07-30,Tomatoes,31,4,12.11,40,6,7,2023,1,0,12.903225806451612
2023-07-31,Tomatoes,21,4,4.42,23,0,7,2023,0,0,19.047619047619047
2023-08-01,Tomatoes,23,5,14.8,29,1,8,2023,0,0,21.73913043478261
2023-08-02,Tomatoes,23,5,13.25,27,2,8,2023,0,0,21.73913043478261
2023-08-03,Tomatoes,21,2,11.33,25,3,8,2023,0,0,9.523809523809524
2023-08-04,Tomatoes,26,3,7.94,29,4,8,2023,0,0,11.538461538461538
2023-08-05,Tomatoes,30,7,3.56,35,5,8,2023,1,0,23.333333333333332
2023-08-06,Tomatoes,30,6,14.06,33,6,8,2023,1,0,20.0
2023-08-07,Tomatoes,26,4,4.88,34,0,8,2023,0,0,15.384615384615385
2023-08-08,Tomatoes,24,3,7.06,29,1,8,2023,0,0,12.5
2023-08-09,Tomatoes,26,3,3.17,30,2,8,2023,0,0,11.538461538461538
2023-08-10,Tomatoes,25,5,3.08,30,3,8,2023,0,0,20.0
2023-08-11,Tomatoes,25,2,13.55,30,4,8,2023,0,0,8.0
2023-08-12,Tomatoes,23,3,13.1,28,5,8,2023,1,0,13.043478260869565
2023-08-13,Tomatoes,27,4,13.39,34,6,8,2023,1,0,14.814814814814813
2023-08-14,Tomatoes,19,3,4.27,22,0,8,2023,0,0,15.789473684210526
2023-08-15,Tomatoes,26,3,11.27,33,1,8,2023,0,0,11.538461538461538
2023-08-16,Tomatoes,25,4,3.58,29,2,8,2023,0,0,16.0
2023-08-17,Tomatoes,21,3,3.87,25,3,8,2023,0,0,14.285714285714285
2023-08-18,Tomatoes,24,2,7.5,27,4,8,2023,0,0,8.333333333333332
2023-08-19,Tomatoes,32,3,14.26,37,5,8,2023,1,0,9.375
2023-08-20,Tomatoes,27,3,7.93,33,6,8,2023,1,0,11.11111111111111
2023-08-21,Tomatoes,26,2,9.33,31,0,8,2023,0,0,7.6923076923076925
2023-08-22,Tomatoes,18,3,7.83,23,1,8,2023,0,0,16.666666666666664
2023-08-23,Tomatoes,27,5,7.89,34,2,8,2023,0,0,18.51851851851852
2023-08-24,Tomatoes,26,6,5.85,32,3,8,2023,0,0,23.076923076923077
2023-08-25,Tomatoes,26,5,3.26,33,4,8,2023,0,0,19.230769230769234
2023-08-26,Tomatoes,26,6,2.72,32,5,8,2023,1,0,23.076923076923077
2023-08-27,Tomatoes,30,4,12.84,35,6,8,2023,1,0,13.333333333333334
2023-08-28,Tomatoes,21,4,3.34,26,0,8,2023,0,0,19.047619047619047
2023-08-29,Tomatoes,21,3,12.36,26,1,8,2023,0,0,14.285714285714285
2023-08-30,Tomatoes,26,5,13.72,30,2,8,2023,0,0,19.230769230769234
2023-08-31,Tomatoes,23,3,8.68,29,3,8,2023,0,0,13.043478260869565
2023-09-01,Tomatoes,27,2,13.32,32,4,9,2023,0,0,7.4074074074074066
2023-09-02,Tomatoes,25,4,12.72,31,5,9,2023,1,0,16.0
2023-09-03,Tomatoes,31,5,5.68,37,6,9,2023,1,0,16.129032258064516
2023-09-04,Tomatoes,25,5,11.59,28,0,9,2023,0,0,20.0
2023-09-05,Tomatoes,24,2,2.64,28,1,9,2023,0,0,8.333333333333332
2023-09-06,Tomatoes,23,4,2.13,29,2,9,2023,0,0,17.391304347826086
2023-09-07,Tomatoes,26,5,11.03,34,3,9,2023,0,0,19.230769230769234
2023-09-08,Tomatoes,20,3,7.5,26,4,9,2023,0,0,15.0
2023-09-09,Tomatoes,29,5,12.14,34,5,9,2023,1,0,17.24137931034483
2023-09-10,Tomatoes,28,4,7.63,34,6,9,2023,1,0,14.285714285714285
2023-09-11,Tomatoes,25,2,9.57,30,0,9,2023,0,0,8.0
2023-09-12,Tomatoes,24,2,12.67,29,1,9,2023,0,0,8.333333333333332
2023-09-13,Tomatoes,24,3,4.21,29,2,9,2023,0,0,12.5
2023-09-14,Tomatoes,24,5,13.37,28,3,9,2023,0,0,20.833333333333336
2023-09-15,Tomatoes,18,5,10.29,21,4,9,2023,0,0,27.77777777777778
2023-09-16,Tomatoes,29,4,13.44,33,5,9,2023,1,0,13.793103448275861
2023-09-17,Tomatoes,26,4,7.3,34,6,9,2023,1,0,15.384615384615385
2023-09-18,Tomatoes,24,4,8.92,27,0,9,2023,0,0,16.666666666666664
2023-09-19,Tomatoes,22,2,3.79,25,1,9,2023,0,0,9.090909090909092
2023-09-20,Tomatoes,24,3,9.36,27,2,9,2023,0,0,12.5
2023-09-21,Tomatoes,26,6,5.63,30,3,9,2023,0,0,23.076923076923077
2023-09-22,Tomatoes,26,6,9.44,31,4,9,2023,0,0,23.076923076923077
2023-09-23,Tomatoes,30,4,2.54,36,5,9,2023,1,0,13.333333333333334
2023-09-24,Tomatoes,30,7,9.22,33,6,9,2023,1,0,23.333333333333332
2023-09-25,Tomatoes,23,3,6.75,28,0,9,2023,0,0,13.043478260869565
2023-09-26,Tomatoes,22,10,6.81,28,1,9,2023,0,0,45.45454545454545
2023-09-27,Tomatoes,21,4,7.62,24,2,9,2023,0,0,19.047619047619047
2023-09-28,Tomatoes,28,6,3.99,33,3,9,2023,0,0,21.428571428571427
2023-09-29,Tomatoes,19,4,10.9,24,4,9,2023,0,0,21.052631578947366
2023-09-30,Tomatoes,22,3,13.14,27,5,9,2023,1,0,13.636363636363635
2023-10-01,Tomatoes,30,1,8.6,38,6,10,2023,1,0,3.3333333333333335
2023-10-02,Tomatoes,25,6,11.37,31,0,10,2023,0,0,24.0
2023-10-03,Tomatoes,28,2,4.23,33,1,10,2023,0,0,7.142857142857142
2023-10-04,Tomatoes,26,4,12.83,31,2,10,2023,0,0,15.384615384615385
2023-10-05,Tomatoes,26,5,2.99,30,3,10,2023,0,0,19.230769230769234
2023-10-06,Tomatoes,22,3,11.88,28,4,10,2023,0,0,13.636363636363635
2023-10-07,Tomatoes,31,7,12.81,40,5,10,2023,1,0,22.58064516129032
2023-10-08,Tomatoes,28,2,5.74,33,6,10,2023,1,0,7.142857142857142
2023-10-09,Tomatoes,27,3,14.22,34,0,10,2023,0,0,11.11111111111111
2023-10-10,Tomatoes,22,2,9.76,28,1,10,2023,0,0,9.090909090909092
2023-10-11,Tomatoes,18,2,5.46,23,2,10,2023,0,0,11.11111111111111
2023-10-12,Tomatoes,26,3,11.72,32,3,10,2023,0,0,11.538461538461538
2023-10-13,Tomatoes,26,4,13.96,29,4,10,2023,0,0,15.384615384615385
2023-10-14,Tomatoes,31,3,7.46,38,5,10,2023,1,0,9.67741935483871
2023-10-15,Tomatoes,31,5,6.65,35,6,10,2023,1,0,16.129032258064516
2023-10-16,Tomatoes,28,15,14.66,36,0,10,2023,0,0,53.57142857142857
2023-10-17,Tomatoes,24,2,6.94,28,1,10,2023,0,0,8.333333333333332
2023-10-18,Tomatoes,21,5,14.63,24,2,10,2023,0,0,23.809523809523807
2023-10-19,Tomatoes,27,2,3.81,33,3,10,2023,0,0,7.4074074074074066
2023-10-20,Tomatoes,22,4,12.14,27,4,10,2023,0,0,18.181818181818183
2023-10-21,Tomatoes,29,4,11.23,33,5,10,2023,1,0,13.793103448275861
2023-10-22,Tomatoes,31,5,13.63,35,6,10,2023,1,0,16.129032258064516
2023-10-23,Tomatoes,27,4,5.34,34,0,10,2023,0,0,14.814814814814813
2023-10-24,Tomatoes,27,4,6.69,32,1,10,2023,0,0,14.814814814814813
2023-10-25,Tomatoes,22,5,9.98,26,2,10,2023,0,0,22.727272727272727
2023-10-26,Tomatoes,22,3,2.85,27,3,10,2023,0,0,13.636363636363635
2023-10-27,Tomatoes,22,9,13.33,26,4,10,2023,0,0,40.909090909090914
2023-10-28,Tomatoes,29,5,7.25,34,5,10,2023,1,0,17.24137931034483
2023-10-29,Tomatoes,30,4,8.29,37,6,10,2023,1,0,13.333333333333334
2023-10-30,Tomatoes,26,6,12.87,29,0,10,2023,0,0,23.076923076923077
2023-10-31,Tomatoes,25,3,11.19,30,1,10,2023,0,0,12.0
2023-11-01,Tomatoes,29,4,11.01,35,2,11,2023,0,0,13.793103448275861
2023-11-02,Tomatoes,27,5,14.56,29,3,11,2023,0,0,18.51851851851852
2023-11-03,Tomatoes,28,4,11.46,36,4,11,2023,0,0,14.285714285714285
2023-11-04,Tomatoes,39,8,14.9,47,5,11,2023,1,0,20.51282051282051
2023-11-05,Tomatoes,30,3,6.94,39,6,11,2023,1,0,10.0
2023-11-06,Tomatoes,25,3,4.93,31,0,11,2023,0,0,12.0
2023-11-07,Tomatoes,27,6,9.48,32,1,11,2023,0,0,22.22222222222222
2023-11-08,Tomatoes,27,4,6.05,34,2,11,2023,0,0,14.814814814814813
2023-11-09,Tomatoes,26,4,3.0,31,3,11,2023,0,0,15.384615384615385
2023-11-10,Tomatoes,29,6,9.07,34,4,11,2023,0,0,20.689655172413794
2023-11-11,Tomatoes,27,4,7.08,34,5,11,2023,1,0,14.814814814814813
2023-11-12,Tomatoes,33,4,3.77,37,6,11,2023,1,0,12.121212121212121
2023-11-13,Tomatoes,23,2,3.74,27,0,11,2023,0,0,8.695652173913043
2023-11-14,Tomatoes,27,2,12.28,32,1,11,2023,0,0,7.4074074074074066
2023-11-15,Tomatoes,23,2,13.14,27,2,11,2023,0,0,8.695652173913043
2023-11-16,Tomatoes,24,3,12.45,30,3,11,2023,0,0,12.5
2023-11-17,Tomatoes,21,3,6.74,27,4,11,2023,0,0,14.285714285714285
2023-11-18,Tomatoes,29,5,14.64,37,5,11,2023,1,0,17.24137931034483
2023-11-19,Tomatoes,29,5,10.23,38,6,11,2023,1,0,17.24137931034483
2023-11-20,Tomatoes,26,6,9.18,32,0,11,2023,0,0,23.076923076923077
2023-11-21,Tomatoes,24,4,13.27,31,1,11,2023,0,0,16.666666666666664
2023-11-22,Tomatoes,25,4,9.54,29,2,11,2023,0,0,16.0
2023-11-23,Tomatoes,22,4,7.04,27,3,11,2023,0,0,18.181818181818183
2023-11-24,Tomatoes,28,4,4.19,36,4,11,2023,0,0,14.285714285714285
